"ID","Nombre completo","Fecha de nacimiento","Direccion","Localidad y Codigo postal","Telefono","Correo electronico","Fecha de alta","Grupo de clientes"
"C0058","Rosalinda Jaume Romero",1985-07-25,"SHREWSBURY","SY49 2YJ","(720) 491-3517","parrt@verizon.net",2014-10-12 22:45:50,"B"
"C0059","Abigail Enriquez Carreras",1987-04-18,"26 North Road","EAST CENTRAL LONDON","(735) 587-8913","hampton@icloud.com",2018-12-27 08:58:45,"D"
"C0060","africa Morcillo",1999-02-21,"EC18 9MF","146 Church Lane","(295) 530-5752","claypool@comcast.net",2008-03-21 06:43:05,"E"
"C0061","Gilberto Cardenas-Esparza",1976-03-16,"LLANDRINDOD WELLS","LD87 1KV","(306) 906-7975","wsnyder@live.com",2018-03-11 03:26:06,"E"
"C0062","Marisela Posada Jover",1991-05-21,"70 Green Lane","KILMARNOCK","(452) 597-0784","magusnet@aol.com",2014-04-30 02:14:52,"D"
"C0063","Begona Claudia Coello Zabaleta",1971-05-11,"KA97 3AD","9645 Queensway","(363) 441-6561","danneng@optonline.net",2010-10-11 21:20:53,"D"
"C0064","Marcos Arregui Sainz",1977-04-10,"ROCHESTER","ME97 9GF","(550) 890-6346","smallpaul@aol.com",2006-10-03 07:42:39,"B"
"C0065","Venceslas Sastre Penalver",1978-09-03,"5 Kingsway","WARRINGTON","(906) 421-7305","staikos@optonline.net",2015-04-26 12:02:04,"C"
"C0066","Febe Amaya",1980-07-12,"WA48 9PQ","512 Stanley Road","(977) 707-4772","bryam@outlook.com",2009-02-21 03:36:20,"C"
"C0067","Quirino Granados Verdugo",1992-12-19,"BIRMINGHAM","B2 0LA","(871) 218-8630","ccohen@optonline.net",2017-07-15 14:24:16,"D"
"C0068","Imelda de Perea",1977-11-09,"3 Church Street","CARLISLE","(522) 326-9656","geoffr@aol.com",2006-10-28 00:45:18,"A"
"C0069","Isidora de Crespi",1980-02-09,"CA46 0YA","12 George Street","(924) 599-2856","kludge@comcast.net",2006-02-12 20:24:35,"D"
"C0070","Balduino Martin aguila",1992-10-22,"REDHILL","RH45 1LV","(998) 710-2563","frikazoyd@att.net",2014-05-18 14:12:59,"B"
"C0071","Casandra Ramirez Canet",1976-09-18,"2 Manchester Road","SWANSEA","(319) 810-1693","singer@comcast.net",2007-12-26 05:49:52,"A"
"C0072","Eustaquio Vigil Gil",1973-03-28,"SA65 3HD","84 North Street","(794) 504-1808","rogerspl@aol.com",2005-07-02 05:02:29,"B"
"C0073","Elvira del Espinosa",2000-04-12,"DUDLEY","DY65 3GJ","(493) 999-4390","danzigism@yahoo.ca",2012-09-23 17:37:42,"C"
"C0074","Pia Huertas Manzanares",1972-02-17,"9112 St. Johns Road","WALSALL","(804) 655-0207","empathy@att.net",2015-09-21 08:35:42,"C"
"C0075","Alberto Salas Baez",1991-08-19,"WS53 7IY","19 Church Road","(554) 800-9842","jrifkin@mac.com",2015-08-18 14:55:16,"C"
"C0076","Sol Rosales Calvo",1982-08-07,"SOUTH WEST LONDON","SW65 0GH","(548) 446-1387","sagal@icloud.com",2008-04-23 20:25:52,"B"
"C0077","Guiomar Folch Sanjuan",1984-12-08,"76 South Street","NORWICH","(517) 369-6486","durist@sbcglobal.net",2019-05-03 01:05:48,"C"
"C0078","Nidia Pardo-Nunez",1989-07-05,"NR38 3VK","73 Grove Road","(893) 798-8990","msloan@msn.com",2011-01-06 04:45:29,"E"
"C0079","Emperatriz Sabina Pastor Pedrero",1974-02-03,"SHEFFIELD","S39 0KU","(504) 719-6268","ilikered@mac.com",2020-12-20 10:46:17,"B"
"C0080","Ximena Jurado-Mata",1994-04-09,"92 Park Avenue","WOLVERHAMPTON","(295) 508-7243","tlinden@live.com",2009-01-04 12:13:00,"A"
"C0081","Eugenio Aranda Falcon",1998-04-05,"WV82 8AJ","53 King Street","(940) 762-9096","citizenl@yahoo.ca",2014-01-04 00:11:10,"B"
"C0082","Felicia del Palomo",1985-08-14,"COVENTRY","CV96 4TX","(370) 597-5412","pajas@yahoo.com",2013-05-09 08:24:38,"A"
"C0083","Abel Uribe Cerro",1990-06-16,"58 Highfield Road","BLACKBURN","(996) 458-0103","british@me.com",2010-03-14 01:32:33,"C"
"C0084","Andres Felipe Prado-Infante",1993-03-22,"BB91 5XM","20 West Street","(223) 934-8344","chaffar@aol.com",2012-01-25 11:12:11,"A"
"C0085","Jordi de Perea",1997-01-02,"OUTER HEBRIDES","HS33 0PY","(611) 728-9360","parkes@hotmail.com",2017-07-22 03:38:24,"D"
"C0086","Ricarda Escriva Cervera",1971-02-27,"82 Windsor Road","PERTH","(446) 436-2416","sjava@yahoo.ca",2014-07-31 21:41:36,"A"
"C0087","Socorro Morales Guerrero",1986-06-25,"PH82 4OY","75 Grange Road","(205) 877-2303","jipsen@outlook.com",2016-09-17 02:59:55,"A"
"C0088","Asuncion agata Gutierrez Morera",1974-04-29,"WESTERN CENTRAL LONDON","WC52 6DL","(442) 997-2681","lahvak@optonline.net",2010-05-10 14:26:37,"C"
"C0089","Jesus Frias Ibanez",1990-07-06,"10 Kings Road","WORCESTER","(200) 695-5178","mlewan@yahoo.com",2016-09-11 03:59:03,"E"
"C0090","Teodosio Nino",1982-07-30,"WR45 4AU","80 The Grove","(892) 339-6497","zwood@verizon.net",2010-11-08 21:45:33,"A"
"C0091","Susana Vizcaino Nunez",1995-01-16,"MANCHESTER","M78 7CQ","(719) 593-5606","kassiesa@hotmail.com",2015-12-05 20:48:07,"B"
"C0092","Abilio Cuellar Rovira",1993-07-17,"472 Mill Lane","READING","(719) 881-4363","rnewman@hotmail.com",2005-03-06 18:05:30,"D"
"C0093","Adora Alberto Rebollo",1970-09-10,"RG6 1SR","55 Queens Road","(346) 442-6581","jaxweb@gmail.com",2006-11-18 21:50:34,"A"
"C0094","Primitivo Jaen Garces",1995-02-13,"TORQUAY","TQ16 9DL","(690) 340-6090","eidac@aol.com",2016-01-24 02:25:16,"E"
"C0095","Delfina Donoso",1996-04-11,"80 Chester Road","HARROW","(722) 742-7576","lishoy@gmail.com",2005-06-24 09:14:07,"D"
"C0096","Julio Fuster Vigil",1995-03-16,"HA62 8DU","320 Victoria Road","(449) 524-6231","delpino@aol.com",2009-08-23 08:14:47,"C"
"C0097","Cintia Carballo-Bayona",1987-09-03,"PAISLEY","PA13 7KA","(703) 723-3874","catalog@att.net",2016-01-01 11:26:35,"B"
"C0098","Fortunata Pascual Ribas",1988-01-06,"304 Springfield Road","BRADFORD","(435) 239-5138","hoyer@hotmail.com",2021-03-03 02:21:44,"A"
"C0099","Lilia Figuerola Bauza",1977-08-26,"BD84 2HP","51 Main Street","(580) 240-1515","esokullu@live.com",2009-01-02 11:23:40,"D"
"C0100","Pili Morell-Oliver",1973-08-06,"CHESTER","CH66 8CW","(650) 385-0635","heidrich@hotmail.com",2007-09-08 03:45:09,"A"
"C0101","Estrella Penas Benito",1982-08-26,"28 London Road","HULL","(243) 906-5992","kohlis@live.com",2015-06-23 15:51:09,"E"
"C0102","Maria angeles Roura Carnero",1987-07-05,"HU74 4ER","44 Park Road","(209) 297-3958","corrada@att.net",2011-08-19 20:54:12,"B"
"C0103","Violeta Violeta Lamas Sarabia",1990-01-11,"GUILDFORD","GU45 5EZ","(966) 338-9815","chaffar@sbcglobal.net",2013-09-18 18:07:01,"D"
"C0104","Ruben Marquez Belda",1981-09-22,"597 New Street","DURHAM","(638) 925-5729","josem@hotmail.com",2012-02-08 02:10:10,"C"
"C0105","Manola Criado",1985-07-08,"DH29 2KQ","69 The Drive","(681) 914-0083","jsmith@mac.com",2013-07-17 11:05:38,"A"
"C0106","Rita Asensio Salgado",1990-02-02,"DUMFRIES","DG73 0TH","(354) 628-2294","hmbrand@hotmail.com",2015-02-27 04:17:50,"E"
"C0107","Daniela Cabello Valles",1982-10-26,"41 Victoria Street","LEICESTER","(888) 289-8104","corrada@gmail.com",2013-10-18 04:45:32,"D"
"C0108","Nicolasa Aurelia Lasa Puig",1979-03-31,"LE96 5AZ","45 Station Road","(393) 626-4948","bryam@icloud.com",2011-03-23 13:05:33,"E"
"C0109","Jonatan Trillo Larranaga",1991-05-05,"CHELMSFORD","CM60 7BF","(887) 262-0302","gmcgath@hotmail.com",2019-07-05 19:52:10,"D"
"C0110","Jose Francisco Alvarado Pombo",1999-06-17,"48 Manor Road","LIVERPOOL","(462) 566-8729","fukuchi@yahoo.com",2020-02-28 15:34:36,"E"
"C0111","Samanta Casandra Borrell Maestre",1970-01-23,"L52 8LM","217 Park Lane","(661) 929-3370","jshearer@mac.com",2018-12-07 09:47:09,"D"
"C0112","Emilia Maria Luisa Lluch Vives",1980-06-22,"SUNDERLAND","SR69 9RW","(859) 862-4703","phish@live.com",2014-07-12 02:58:48,"B"
"C0113","Esteban Guillen Mena",1974-07-23,"33 York Road","HUDDERSFIELD","(415) 981-0636","manuals@aol.com",2011-06-22 18:01:18,"A"
"C0114","Josue Rocha Juan",1993-01-31,"HD3 3KR","44 Alexander Road","(563) 420-8118","meder@outlook.com",2008-04-21 20:01:47,"E"
"C0115","Encarnacion Aleman-Prats",1995-01-31,"YORK","YO59 8CP","(462) 763-2017","gomor@icloud.com",2013-08-17 02:30:05,"C"
"C0116","Celia Verdu",1990-08-09,"24 Rock Maple Lane","Santa Ana; CA 92707","(701) 212-8508","hauma@gmail.com",2009-06-20 07:43:02,"D"
"C0117","Espiridion del Vinas",1983-08-19,"376 South Griffin Street","Lancaster; CA 93535","(714) 278-0966","godeke@yahoo.ca",2020-04-11 09:58:47,"E"
"C0118","Melania Lobato-Mena",1983-04-01,"7172 Halifax St.","Huntington Beach; CA 92647","(523) 677-7026","jdhedden@mac.com",2020-11-20 16:36:00,"D"
"C0119","Sosimo Roig Bayo",1988-04-26,"9530 Homewood St.","Palmdale; CA 93550","(615) 522-3616","tbeck@gmail.com",2011-04-10 21:26:55,"A"
"C0120","Abel Carrasco-Belda",1978-08-03,"3 Sunset Street","Watsonville; CA 95076","(497) 402-3196","bryanw@outlook.com",2012-03-01 05:06:54,"B"
"C0121","Alicia Celestina Ibanez Santana",1989-11-26,"611 Linda Rd.","El Cajon; CA 92021","(624) 360-5381","draper@me.com",2020-08-16 06:41:46,"A"
"C0122","Conrado Torre",1993-08-10,"7088 South Woodland St.","South San Francisco; CA 94080","(417) 559-0451","anicolao@optonline.net",2012-01-08 23:04:26,"D"
"C0123","Leoncio Pombo Nadal",1971-05-29,"78 Hamilton St.","Los Angeles; CA 90022","(650) 230-0049","mxiao@comcast.net",2005-11-29 07:03:12,"C"
"C0124","Marcia Tomas",1995-11-14,"7576 S. Prince Ave.","Compton; CA 90221","(863) 238-8964","mleary@yahoo.ca",2008-03-30 11:56:47,"E"
"C0125","Aurelia del Ocana",1972-09-22,"8678 Glen Eagles Rd.","Los Angeles; CA 90042","(340) 944-7011","louise@comcast.net",2015-12-14 12:17:51,"B"
"C0126","Porfirio Cases Fabregat",1978-12-12,"7487 College Rd.","Carmichael; CA 95608","(388) 447-0349","solomon@gmail.com",2011-10-10 02:32:07,"A"
"C0127","Maristela Marmol",1999-10-15,"8 Westminster Ave.","Anaheim; CA 92805","(562) 364-8454","dgatwood@live.com",2011-11-18 12:20:02,"C"
"C0128","Leticia Azorin Cortina",1999-09-22,"92 Brickell Drive","Fountain Valley; CA 92708","(332) 349-8146","augusto@outlook.com",2007-06-26 05:48:58,"D"
"C0129","Regulo de Sacristan",1975-08-20,"503 Delaware Street","San Jose; CA 95123","(286) 718-4373","rafasgj@msn.com",2020-11-11 14:33:12,"C"
"C0130","Esteban del Muniz",1973-09-03,"34 Anderson Ave.","Los Angeles; CA 90037","(397) 693-0198","solomon@yahoo.ca",2009-01-24 08:55:55,"E"
"C0131","Trinidad Exposito Abella",1997-03-18,"8388 Water St.","Bakersfield; CA 93309","(874) 698-3563","kildjean@aol.com",2013-12-18 08:07:26,"C"
"C0132","Panfilo Ortiz Pardo",1974-03-17,"373 Brickyard Avenue","Tustin; CA 92780","(633) 872-7554","andersbr@att.net",2018-06-05 20:23:33,"E"
"C0133","Glauco Llorens alvarez",1987-01-05,"834 Yukon Lane","Cupertino; CA 95014","(799) 691-3758","moonlapse@sbcglobal.net",2010-08-30 06:43:50,"A"
"C0134","Susanita Zaragoza Higueras",1970-03-01,"8324 South St.","Fremont; CA 94538","(625) 240-8609","schwaang@mac.com",2007-09-22 16:32:32,"D"
"C0135","Ileana Asuncion Beltran Samper",1997-12-28,"8 White Ave.","Bakersfield; CA 93307","(677) 815-4415","geekoid@yahoo.ca",2009-11-13 05:11:21,"D"
"C0136","Chus Merino Casas",1971-12-11,"907 Inverness Dr.","North Hills; CA 91343","(368) 227-4620","plover@aol.com",2011-06-11 02:29:33,"E"
"C0137","Carmina Cervera",1979-04-18,"12 Cypress Avenue","San Pablo; CA 94806","(930) 420-2085","jhardin@hotmail.com",2007-08-05 04:56:00,"D"
"C0138","Curro Coello Izaguirre",1972-12-25,"7313 Bohemia Street","San Diego; CA 92117","(883) 797-3367","jdray@hotmail.com",2012-10-11 06:40:47,"A"
"C0139","Mario Roldan",1977-05-01,"8518 Hilldale Lane","Pomona; CA 91766","(616) 916-4936","euice@outlook.com",2019-04-29 10:45:13,"A"
"C0140","Jesusa Fuentes",1999-01-06,"190 Sierra St.","Paramount; CA 90723","(406) 344-3322","camenisch@yahoo.ca",2008-07-04 01:49:28,"C"
"C0141","oscar Dominguez Mayol",1973-12-20,"95 Studebaker Street","Ontario; CA 91761","(323) 771-5959","lamky@hotmail.com",2019-05-19 00:20:45,"A"
"C0142","Angelino Contreras Pi",1986-09-28,"1 Highland Ave.","San Jose; CA 95122","(898) 732-6602","alastair@att.net",2015-12-03 20:18:35,"E"
"C0143","Rafa Camino Perello",1994-10-28,"5 West Henry Smith Street","San Francisco; CA 94110","(551) 404-1539","british@comcast.net",2014-07-06 17:00:33,"E"
"C0144","Aura Vidal-Roma",1987-11-03,"940 E. Primrose Ave.","Laguna Niguel; CA 92677","(488) 349-4237","rddesign@icloud.com",2013-09-19 06:38:40,"A"
"C0145","Lara Jordana Ballester Llado",1974-08-13,"8304 Van Dyke Avenue","Santa Ana; CA 92703","(296) 444-2189","heckerman@me.com",2005-02-18 08:08:17,"B"
"C0146","Anibal Castello Sarabia",1992-03-04,"86 Bradford Rd.","San Francisco; CA 94112","(988) 961-4637","rasca@verizon.net",2006-06-18 18:16:39,"B"
"C0147","Adriana Higueras Ribes",1980-05-07,"3 Jefferson Dr.","Van Nuys; CA 91406","(486) 549-5020","willg@sbcglobal.net",2020-05-30 17:54:01,"E"
"C0148","Ernesto Cuadrado Mesa",1987-03-14,"79 Rocky River Ave.","Reseda; CA 91335","(868) 892-8961","bryam@verizon.net",2012-04-28 04:47:34,"E"
"C0149","Estela Ponce-Losada",1997-01-24,"38 Johnson St.","Fremont; CA 94536","(473) 875-0023","padme@hotmail.com",2019-12-20 11:51:29,"B"
"C0150","Luis Miguel del Tapia",1971-09-05,"7652 West Wakehurst Drive","Garden Grove; CA 92840","(700) 958-6128","damian@hotmail.com",2013-02-26 15:26:18,"B"
"C0151","Elpidio Agullo Tejero",1988-08-02,"7075 Lake Forest Rd.","Bellflower; CA 90706","(696) 679-7702","tangsh@me.com",2020-12-28 03:37:26,"A"
"C0152","Maria Carmen Rodenas Acosta",1970-09-26,"619 Pleasant St.","Lynwood; CA 90262","(250) 248-4300","yamla@outlook.com",2011-08-04 05:20:05,"C"
"C0153","Lucas Vendrell Valverde",1987-12-11,"8026 New Saddle St.","San Diego; CA 92105","(834) 508-9490","rbarreira@optonline.net",2010-02-08 04:04:21,"E"
"C0154","Gerardo Tome Real",1997-06-05,"275 Rock Maple Avenue","Huntington Beach; CA 92646","(503) 283-5457","jrifkin@verizon.net",2005-03-07 04:49:44,"B"
"C0155","Elias Sacristan Vazquez",1998-01-31,"404 Railroad St.","Oxnard; CA 93030","(461) 976-3596","dmouse@sbcglobal.net",2013-03-10 18:52:43,"B"
"C0156","Victoriano Valencia Coloma",1998-06-05,"441 Court Dr.","Sunnyvale; CA 94087","(398) 272-4739","tubajon@comcast.net",2006-02-07 17:57:52,"E"
"C0157","Vera Ribes-Cases",1996-10-11,"9 South Theatre Ave.","Sacramento; CA 95828","(279) 586-2100","tjensen@att.net",2011-09-08 19:13:52,"B"
"C0158","Ligia Moya Calleja",1980-09-29,"674 Van Dyke Drive","Pittsburg; CA 94565","(988) 433-7129","tristan@live.com",2011-05-20 08:25:57,"B"
"C0159","Evangelina Barragan Castell",1996-01-29,"234 W. Riverside St.","South Gate; CA 90280","(357) 352-8928","crandall@sbcglobal.net",2008-12-14 19:33:51,"E"
"C0160","Florencia Domitila Castell Mendizabal",1995-12-05,"916 E. Cactus Ave.","Indio; CA 92201","(240) 852-8613","bester@outlook.com",2017-04-10 04:38:17,"D"
"C0161","Javier Arellano-Murcia",1999-04-02,"218 Lake St.","Vallejo; CA 94591","(403) 855-3645","world@yahoo.ca",2019-01-03 08:18:02,"C"
"C0162","Aurelia Sans Oller",1991-11-13,"861 Oakland St.","Chula Vista; CA 91911","(593) 356-1838","staikos@sbcglobal.net",2018-12-24 10:47:39,"D"
"C0163","Teodora Jerez Tormo",1994-09-22,"8356 Bank Ave.","Chula Vista; CA 91910","(433) 213-5953","kludge@comcast.net",2015-08-02 02:02:33,"A"
"C0164","Cornelio Noguera Lluch",1992-05-01,"9754 Brookside Street","Sacramento; CA 95823","(669) 290-1610","paulv@sbcglobal.net",2017-03-30 09:17:55,"E"
"C0165","Carla Serna Montalban",1999-05-05,"8718 Chapel Drive","Rosemead; CA 91770","(472) 605-7532","jgmyers@sbcglobal.net",2018-06-07 20:23:07,"D"
"C0166","Macarena Valeria Feliu Mayol",1986-07-03,"9029 Bellevue Drive","San Bernardino; CA 92404","(287) 839-5879","josephw@hotmail.com",2014-01-22 00:28:34,"B"
"C0167","Jacinta Paz Domingo Rivas",1999-01-28,"277 Halifax Dr.","Colton; CA 92324","(622) 903-6022","sopwith@att.net",2007-07-14 13:22:54,"C"
"C0168","Victor Manuel Tejedor Nevado",1986-11-06,"7889 Chapel Street","Ontario; CA 91762","(797) 421-8320","sharon@att.net",2010-03-28 09:13:23,"E"
